"Età","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"0","5158","0","0","0","0","0","0","5158","4867","0","0","0","0","0","0","4867","10025"
"1","5305","0","0","0","0","0","0","5305","5021","0","0","0","0","0","0","5021","10326"
"2","5501","0","0","0","0","0","0","5501","5322","0","0","0","0","0","0","5322","10823"
"3","5679","0","0","0","0","0","0","5679","5392","0","0","0","0","0","0","5392","11071"
"4","5934","0","0","0","0","0","0","5934","5473","0","0","0","0","0","0","5473","11407"
"5","5943","0","0","0","0","0","0","5943","5499","0","0","0","0","0","0","5499","11442"
"6","5823","0","0","0","0","0","0","5823","5563","0","0","0","0","0","0","5563","11386"
"7","5920","0","0","0","0","0","0","5920","5506","0","0","0","0","0","0","5506","11426"
"8","6098","0","0","0","0","0","0","6098","5572","0","0","0","0","0","0","5572","11670"
"9","5998","0","0","0","0","0","0","5998","5662","0","0","0","0","0","0","5662","11660"
"10","6175","0","0","0","0","0","0","6175","5722","0","0","0","0","0","0","5722","11897"
"11","6233","0","0","0","0","0","0","6233","5979","0","0","0","0","0","0","5979","12212"
"12","6364","0","0","0","0","0","0","6364","5897","0","0","0","0","0","0","5897","12261"
"13","6292","0","0","0","0","0","0","6292","5848","0","0","0","0","0","0","5848","12140"
"14","6330","0","0","0","0","0","0","6330","5876","0","0","0","0","0","0","5876","12206"
"15","6083","0","0","0","0","0","0","6083","5586","0","0","0","0","0","0","5586","11669"
"16","6096","0","0","0","0","0","0","6096","5732","1","0","0","0","0","0","5733","11829"
"17","6181","0","0","0","0","0","0","6181","5586","1","0","0","0","0","0","5587","11768"
"18","6068","0","0","0","0","0","0","6068","5528","2","0","0","0","0","0","5530","11598"
"19","6229","1","0","0","0","0","0","6230","5760","18","0","0","0","0","0","5778","12008"
"20","6775","3","0","0","0","0","0","6778","6028","42","2","0","0","0","0","6072","12850"
"21","7141","19","0","0","1","0","0","7161","5957","147","2","2","0","0","0","6108","13269"
"22","7529","25","0","0","0","0","0","7554","6310","230","2","0","1","0","0","6543","14097"
"23","7293","51","0","0","0","0","0","7344","6280","280","3","0","1","0","0","6564","13908"
"24","7331","69","1","0","5","1","0","7407","6532","352","7","0","0","0","0","6891","14298"
"25","7368","203","3","0","4","0","0","7578","6377","669","9","1","0","0","0","7056","14634"
"26","7572","248","2","0","5","1","0","7828","6713","816","8","1","1","0","0","7539","15367"
"27","7835","356","5","0","9","0","0","8205","7063","925","13","1","5","0","0","8007","16212"
"28","8171","498","3","2","7","0","0","8681","7084","1212","23","4","3","0","0","8326","17007"
"29","8053","680","13","1","10","0","0","8757","7176","1453","29","6","2","1","0","8667","17424"
"30","8124","1041","18","1","20","1","0","9205","6919","1992","41","4","4","0","0","8960","18165"
"31","7998","1399","27","1","18","2","0","9445","6787","2348","54","1","3","1","0","9194","18639"
"32","7841","1770","32","1","28","0","0","9672","6359","2805","74","7","14","0","0","9259","18931"
"33","7087","2103","46","1","24","0","0","9261","5511","3346","99","4","14","2","0","8976","18237"
"34","6771","2606","52","0","30","0","0","9459","5177","3583","136","11","13","0","0","8920","18379"
"35","6466","3030","89","3","34","0","0","9622","4800","3969","171","5","11","1","0","8957","18579"
"36","6077","3514","115","2","31","0","0","9739","4583","4353","185","10","16","4","0","9151","18890"
"37","5652","3914","124","0","43","0","0","9733","4458","4639","220","20","12","1","0","9350","19083"
"38","5537","4265","135","8","35","1","0","9981","4243","5023","257","31","13","3","0","9570","19551"
"39","5209","4567","160","3","35","1","0","9975","4027","5011","285","28","15","1","0","9367","19342"
"40","4984","4531","187","7","32","0","0","9741","3771","4877","322","31","19","0","1","9021","18762"
"41","4627","4751","198","14","44","1","0","9635","3619","5235","344","45","14","2","0","9259","18894"
"42","4587","5004","242","8","27","0","0","9868","3590","5230","389","47","13","2","0","9271","19139"
"43","4387","5238","251","7","41","0","1","9925","3711","5534","439","54","21","0","0","9759","19684"
"44","4469","5256","299","15","26","0","0","10065","3697","5759","481","57","16","2","1","10013","20078"
"45","4415","5639","356","25","33","1","1","10470","3722","6116","606","66","10","0","0","10520","20990"
"46","4547","5964","439","29","53","0","1","11033","3873","6520","615","80","11","0","0","11099","22132"
"47","4456","6285","437","34","48","1","0","11261","3827","6642","757","98","9","1","0","11334","22595"
"48","4148","6317","477","30","46","0","0","11018","3675","6873","870","103","13","0","0","11534","22552"
"49","4001","6700","573","37","43","0","1","11355","3374","7095","895","138","19","1","0","11522","22877"
"50","3674","6592","574","42","58","0","3","10943","3225","6923","1012","166","10","2","0","11338","22281"
"51","3459","6821","717","40","47","0","0","11084","3145","7106","1024","157","10","0","0","11442","22526"
"52","3320","6891","657","48","48","0","1","10965","2897","7002","1066","210","15","1","0","11191","22156"
"53","3172","6656","735","46","36","0","1","10646","2803","6982","1086","241","15","0","0","11127","21773"
"54","3117","6763","752","96","52","0","0","10780","2652","7190","1206","271","15","0","0","11334","22114"
"55","2865","6912","824","74","41","0","2","10718","2579","6982","1196","326","16","0","0","11099","21817"
"56","2531","6987","819","102","43","0","1","10483","2508","6827","1299","342","12","1","0","10989","21472"
"57","2211","6551","799","92","50","0","1","9704","2149","6720","1209","343","10","0","0","10431","20135"
"58","1909","6117","829","111","47","0","0","9013","1973","6231","1192","424","11","0","0","9831","18844"
"59","1851","5930","756","91","55","0","3","8686","1827","6058","1114","442","7","0","0","9448","18134"
"60","1563","5756","675","126","23","0","1","8144","1733","5753","1071","511","14","0","0","9082","17226"
"61","1405","5534","670","125","31","0","1","7766","1534","5584","1084","544","7","0","1","8754","16520"
"62","1326","5371","639","130","32","1","1","7500","1389","5292","934","520","5","0","2","8142","15642"
"63","1122","5191","600","127","18","0","0","7058","1373","5184","1005","587","6","0","0","8155","15213"
"64","1105","4954","598","166","18","0","1","6842","1197","4912","928","679","4","0","0","7720","14562"
"65","883","4732","530","152","20","0","0","6317","1051","4822","917","780","5","0","0","7575","13892"
"66","844","4722","538","186","18","0","1","6309","1037","4540","811","829","4","0","0","7221","13530"
"67","753","4352","435","201","16","0","1","5758","907","4398","786","875","2","0","0","6968","12726"
"68","767","4337","441","182","25","0","0","5752","934","4314","772","887","5","0","0","6912","12664"
"69","687","4116","426","243","15","0","1","5488","838","4249","796","1040","6","0","0","6929","12417"
"70","643","4186","394","275","10","0","0","5508","803","4436","720","1204","2","0","0","7165","12673"
"71","636","4314","351","289","19","0","0","5609","867","4425","726","1372","3","0","0","7393","13002"
"72","581","4668","384","367","21","0","0","6021","826","4656","748","1599","4","0","0","7833","13854"
"73","587","4671","360","396","18","0","1","6033","787","4843","783","1819","2","0","1","8235","14268"
"74","565","5044","375","488","11","0","0","6483","834","4886","763","2116","1","0","1","8601","15084"
"75","388","3726","293","382","3","0","0","4792","622","3479","524","1805","0","0","0","6430","11222"
"76","425","3945","225","424","11","0","0","5030","651","3679","567","2102","0","0","0","6999","12029"
"77","355","3846","247","454","7","0","1","4910","668","3647","495","2229","1","0","0","7040","11950"
"78","401","3699","204","480","8","0","0","4792","633","3423","506","2501","1","0","0","7064","11856"
"79","317","3722","208","633","6","0","1","4887","647","3259","475","2802","0","0","0","7183","12070"
"80","361","4081","216","647","4","0","0","5309","654","3285","436","3274","0","0","0","7649","12958"
"81","293","3755","166","705","7","0","0","4926","688","3093","387","3306","1","0","0","7475","12401"
"82","255","3582","150","767","2","0","0","4756","656","2714","375","3495","0","0","0","7240","11996"
"83","210","2990","113","709","9","0","0","4031","555","2169","277","3513","0","0","0","6514","10545"
"84","166","2561","93","639","2","0","1","3462","498","1696","267","3299","1","0","0","5761","9223"
"85","161","2357","77","651","0","0","0","3246","484","1488","216","3507","0","0","0","5695","8941"
"86","153","2068","63","668","2","0","0","2954","497","1234","202","3376","1","0","0","5310","8264"
"87","109","1712","50","618","4","0","0","2493","438","937","162","3160","1","0","1","4699","7192"
"88","117","1523","42","567","2","0","0","2251","426","709","155","2948","0","0","0","4238","6489"
"89","69","1225","34","527","4","0","0","1859","384","564","106","2768","0","0","0","3822","5681"
"90","49","1014","39","470","2","0","1","1575","352","442","123","2670","0","0","0","3587","5162"
"91","57","727","25","401","0","0","0","1210","257","312","73","2256","0","0","0","2898","4108"
"92","39","498","12","315","2","0","0","866","234","174","60","1816","0","0","0","2284","3150"
"93","25","350","14","280","0","0","0","669","200","113","48","1478","0","0","0","1839","2508"
"94","28","232","3","224","0","0","0","487","142","79","37","1238","0","0","0","1496","1983"
"95","15","145","8","156","0","0","0","324","111","55","34","992","0","0","0","1192","1516"
"96","7","91","1","122","0","0","0","221","98","32","20","720","0","0","0","870","1091"
"97","12","55","1","88","0","0","0","156","67","26","13","570","0","0","0","676","832"
"98","3","35","0","63","0","0","0","101","48","10","11","422","0","0","0","491","592"
"99","2","14","0","35","0","0","0","51","37","10","6","285","0","0","0","338","389"
"100 e oltre","3","32","2","39","0","0","0","76","39","9","8","388","0","0","0","444","520"
"Totale","351457","272200","21448","15488","1579","11","28","662211","318588","280051","37169","76059","470","26","8","712371","1374582"